P@1,HR@1,R@1,NDCG@1,P@2,HR@2,R@2,NDCG@2,P@3,HR@3,R@3,NDCG@3,P@4,HR@4,R@4,NDCG@4,P@5,HR@5,R@5,NDCG@5,P@6,HR@6,R@6,NDCG@6,P@7,HR@7,R@7,NDCG@7,P@8,HR@8,R@8,NDCG@8,P@9,HR@9,R@9,NDCG@9,P@10,HR@10,R@10,NDCG@10,P@11,HR@11,R@11,NDCG@11,P@12,HR@12,R@12,NDCG@12,P@13,HR@13,R@13,NDCG@13,P@14,HR@14,R@14,NDCG@14,P@15,HR@15,R@15,NDCG@15,P@16,HR@16,R@16,NDCG@16,P@17,HR@17,R@17,NDCG@17,P@18,HR@18,R@18,NDCG@18,P@19,HR@19,R@19,NDCG@19,P@20,HR@20,R@20,NDCG@20,method,rerank_failed
1.0,1.0,0.0169491525423728,1.0,1.0,1.0,0.0338983050847457,1.0,1.0,1.0,0.0508474576271186,1.0,0.75,1.0,0.0508474576271186,0.8318724637288826,0.8,1.0,0.0677966101694915,0.8539316501572937,0.8333333333333334,1.0,0.0847457627118644,0.8696762340896295,0.7142857142857143,1.0,0.0847457627118644,0.7899917627398735,0.75,1.0,0.1016949152542373,0.8067492731263585,0.7777777777777778,1.0,0.1186440677966101,0.8204228753162047,0.7,1.0,0.1186440677966101,0.7682269253321375,0.6363636363636364,1.0,0.1186440677966101,0.7237911803863641,0.5833333333333334,1.0,0.1186440677966101,0.6853843549937884,0.5384615384615384,1.0,0.1186440677966101,0.6517703916668214,0.5714285714285714,1.0,0.135593220338983,0.6676546609655363,0.6,1.0,0.1525423728813559,0.6818299555883383,0.625,1.0,0.1694915254237288,0.6945781528470637,0.6470588235294118,1.0,0.1864406779661017,0.7061202498985213,0.6666666666666666,1.0,0.2033898305084746,0.7166322694742394,0.631578947368421,1.0,0.2033898305084746,0.6922930833427596,0.65,1.0,0.2203389830508474,0.7022437992019732,rrf_hop1_llm,
1.0,1.0,0.0454545454545454,1.0,0.5,1.0,0.0454545454545454,0.6131471927654584,0.6666666666666666,1.0,0.0909090909090909,0.7039180890341347,0.75,1.0,0.1363636363636363,0.75369761125927,0.6,1.0,0.1363636363636363,0.6548086577531307,0.6666666666666666,1.0,0.1818181818181818,0.6920165406831017,0.5714285714285714,1.0,0.1818181818181818,0.628610217676767,0.5,1.0,0.1818181818181818,0.5784505554216093,0.4444444444444444,1.0,0.1818181818181818,0.5375218463332216,0.4,1.0,0.1818181818181818,0.5033242827953464,0.3636363636363636,1.0,0.1818181818181818,0.4742110237857917,0.4166666666666667,1.0,0.2272727272727272,0.5021111777943287,0.3846153846153846,1.0,0.2272727272727272,0.4774856569555991,0.4285714285714285,1.0,0.2727272727272727,0.5013198121760172,0.4,1.0,0.2727272727272727,0.4799373668602854,0.375,1.0,0.2727272727272727,0.4607075985900454,0.3529411764705882,1.0,0.2727272727272727,0.4432971485360009,0.3333333333333333,1.0,0.2727272727272727,0.4274404986590993,0.3157894736842105,1.0,0.2727272727272727,0.4129232151091568,0.3,1.0,0.2727272727272727,0.3995699839570566,rrf_hop1_llm,
1.0,1.0,0.025,1.0,1.0,1.0,0.05,1.0,1.0,1.0,0.075,1.0,0.75,1.0,0.075,0.8318724637288826,0.6,1.0,0.075,0.7227265726449519,0.5,1.0,0.075,0.644824486427155,0.5714285714285714,1.0,0.1,0.6773676006644395,0.5,1.0,0.1,0.6233173655322678,0.4444444444444444,1.0,0.1,0.5792140711633723,0.4,1.0,0.1,0.5423640154200349,0.4545454545454545,1.0,0.125,0.5688345740769206,0.4166666666666667,1.0,0.125,0.5386502740248387,0.4615384615384615,1.0,0.15,0.5612766918250756,0.4285714285714285,1.0,0.15,0.5356744170308221,0.4666666666666667,1.0,0.175,0.5554789732151043,0.5,1.0,0.2,0.5732897062952212,0.5294117647058824,1.0,0.225,0.5894153753287474,0.5555555555555556,1.0,0.25,0.6041019048039588,0.5263157894736842,1.0,0.25,0.5835846195382642,0.55,1.0,0.275,0.5970507813502742,rrf_hop1_llm,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0294117647058823,0.1312050775123417,0.3333333333333333,1.0,0.0588235294117647,0.2248517476624744,0.4285714285714285,1.0,0.088235294117647,0.2958750506849612,0.5,1.0,0.1176470588235294,0.352060376105862,0.5555555555555556,1.0,0.1470588235294117,0.3979058370958225,0.6,1.0,0.1764705882352941,0.4362115423097744,0.5454545454545454,1.0,0.1764705882352941,0.4109802152144642,0.5,1.0,0.1764705882352941,0.3891722051235989,0.5384615384615384,1.0,0.2058823529411764,0.4191296194509999,0.5714285714285714,1.0,0.2352941176470588,0.445625647736623,0.6,1.0,0.2647058823529412,0.4692709914549636,0.5625,1.0,0.2647058823529412,0.4504685954659643,0.5294117647058824,1.0,0.2647058823529412,0.43344508422743,0.5,1.0,0.2647058823529412,0.4179408407100588,0.4736842105263157,1.0,0.2647058823529412,0.4037461967520743,0.5,1.0,0.2941176470588235,0.4230280258397987,rrf_hop1_llm,
1.0,1.0,0.0526315789473684,1.0,1.0,1.0,0.1052631578947368,1.0,1.0,1.0,0.1578947368421052,1.0,0.75,1.0,0.1578947368421052,0.8318724637288826,0.8,1.0,0.2105263157894736,0.8539316501572937,0.8333333333333334,1.0,0.2631578947368421,0.8696762340896295,0.7142857142857143,1.0,0.2631578947368421,0.7899917627398735,0.625,1.0,0.2631578947368421,0.7269547345639102,0.5555555555555556,1.0,0.2631578947368421,0.6755184993100495,0.5,1.0,0.2631578947368421,0.6325414799409712,0.4545454545454545,1.0,0.2631578947368421,0.5959540460156021,0.4166666666666667,1.0,0.2631578947368421,0.5643306944087171,0.3846153846153846,1.0,0.2631578947368421,0.5366536820463494,0.3571428571428571,1.0,0.2631578947368421,0.5121745699841287,0.3333333333333333,1.0,0.2631578947368421,0.4903291442323355,0.375,1.0,0.3157894736842105,0.5107502515001933,0.3529411764705882,1.0,0.3157894736842105,0.4914486559305756,0.3333333333333333,1.0,0.3157894736842105,0.4738696363151762,0.3157894736842105,1.0,0.3157894736842105,0.4577754667227389,0.3,1.0,0.3157894736842105,0.4577754667227389,rrf_hop1_llm,
1.0,1.0,0.04,1.0,1.0,1.0,0.08,1.0,0.6666666666666666,1.0,0.08,0.7653606369886217,0.5,1.0,0.08,0.6366824387328317,0.6,1.0,0.12,0.6843515475204855,0.6666666666666666,1.0,0.16,0.7183750273402227,0.7142857142857143,1.0,0.2,0.7441790405874917,0.625,1.0,0.2,0.6847976174359675,0.6666666666666666,1.0,0.24,0.7071000017953826,0.6,1.0,0.24,0.6621137423456802,0.5454545454545454,1.0,0.24,0.6238157910375508,0.5,1.0,0.24,0.5907140003377506,0.4615384615384615,1.0,0.24,0.5617430461579472,0.4285714285714285,1.0,0.24,0.5361194989111662,0.4,1.0,0.24,0.5132527667578783,0.375,1.0,0.24,0.4926881421832582,0.3529411764705882,1.0,0.24,0.4740691258745331,0.3333333333333333,1.0,0.24,0.4571117685550313,0.3157894736842105,1.0,0.24,0.4415867512042033,0.3,1.0,0.24,0.4273065902765211,rrf_hop1_llm,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0256410256410256,0.2346393630113782,0.5,1.0,0.0512820512820512,0.3633175612671683,0.6,1.0,0.0769230769230769,0.4468535299918563,0.6666666666666666,1.0,0.1025641025641025,0.5064767203222518,0.7142857142857143,1.0,0.1282051282051282,0.5516960100974696,0.625,1.0,0.1282051282051282,0.5076736815449983,0.5555555555555556,1.0,0.1282051282051282,0.4717528440092103,0.5,1.0,0.1282051282051282,0.4417395562382472,0.5454545454545454,1.0,0.1538461538461538,0.4740304300338858,0.5833333333333334,1.0,0.1794871794871795,0.5019401669620333,0.5384615384615384,1.0,0.1794871794871795,0.4773230331718311,0.5,1.0,0.1794871794871795,0.455550250444733,0.4666666666666667,1.0,0.1794871794871795,0.4361199824159834,0.4375,1.0,0.1794871794871795,0.4186458560424854,0.4117647058823529,1.0,0.1794871794871795,0.4028249475329075,0.4444444444444444,1.0,0.2051282051282051,0.4241857790958067,0.4210526315789473,1.0,0.2051282051282051,0.4097790365145466,0.4,1.0,0.2051282051282051,0.3965274827252612,rrf_hop1_llm,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0153846153846153,0.1312050775123417,0.3333333333333333,1.0,0.0307692307692307,0.2248517476624744,0.2857142857142857,1.0,0.0307692307692307,0.2042496063801976,0.25,1.0,0.0307692307692307,0.187951603287528,0.2222222222222222,1.0,0.0307692307692307,0.1746529446181722,0.3,1.0,0.0461538461538461,0.227162174819248,0.2727272727272727,1.0,0.0461538461538461,0.2140226712054803,0.3333333333333333,1.0,0.0615384615384615,0.255729305449656,0.3076923076923077,1.0,0.0615384615384615,0.2431873274596661,0.2857142857142857,1.0,0.0615384615384615,0.232094494148065,0.2666666666666666,1.0,0.0615384615384615,0.2221951290947226,0.25,1.0,0.0615384615384615,0.2132923823233685,0.2352941176470588,1.0,0.0615384615384615,0.2052319197203768,0.2222222222222222,1.0,0.0615384615384615,0.1978908152144766,0.2105263157894736,1.0,0.0615384615384615,0.191169793024464,0.25,1.0,0.0769230769230769,0.2173259797471947,rrf_hop1_llm,
1.0,1.0,0.0175438596491228,1.0,0.5,1.0,0.0175438596491228,0.6131471927654584,0.3333333333333333,1.0,0.0175438596491228,0.4692787260227564,0.5,1.0,0.0350877192982456,0.5585075862632192,0.6,1.0,0.0526315789473684,0.6164336326286644,0.5,1.0,0.0526315789473684,0.5499887725471476,0.5714285714285714,1.0,0.0701754385964912,0.5912212512046472,0.625,1.0,0.087719298245614,0.6238395628389073,0.6666666666666666,1.0,0.1052631578947368,0.6504550807234146,0.7,1.0,0.1228070175438596,0.6726934039987301,0.6363636363636364,1.0,0.1228070175438596,0.6337835044090115,0.6666666666666666,1.0,0.1403508771929824,0.653216199063478,0.6923076923076923,1.0,0.1578947368421052,0.6702238501458727,0.6428571428571429,1.0,0.1578947368421052,0.639652020894775,0.6,1.0,0.1578947368421052,0.6123693880809782,0.5625,1.0,0.1578947368421052,0.5878334335133608,0.5294117647058824,1.0,0.1578947368421052,0.5656188126440643,0.5,1.0,0.1578947368421052,0.5453867414351575,0.4736842105263157,1.0,0.1578947368421052,0.5268636160068675,0.5,1.0,0.175438596491228,0.5421640381453007,rrf_hop1_llm,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrf_hop1_llm,
